timestamp,Count
2023-09-24 11:46:00,16
2023-09-27 14:50:00,16
2023-09-18 11:18:00,16
2023-09-21 06:52:00,16
2023-09-23 13:56:00,16
2023-09-29 02:18:00,16
2023-09-19 07:50:00,16
2023-09-28 11:00:00,15
2023-09-18 10:48:00,15
2023-09-18 13:08:00,15
2023-09-27 13:54:00,15
2023-09-24 06:52:00,15
2023-09-19 07:56:00,14
2023-09-29 15:34:00,14
2023-09-28 09:38:00,14
2023-09-29 14:30:00,14
2023-09-20 09:06:00,14
2023-09-28 15:58:00,14
2023-09-21 13:16:00,14
2023-09-19 07:02:00,14
2023-09-22 16:44:00,14
2023-09-23 13:58:00,14
2023-09-20 07:50:00,14
2023-09-18 11:34:00,13
2023-09-22 07:40:00,13
2023-09-23 22:48:00,13
2023-09-20 08:32:00,13
2023-09-25 13:38:00,13
2023-09-19 06:16:00,12
2023-09-18 11:36:00,12
2023-09-19 16:08:00,12
2023-09-22 10:00:00,12
2023-09-22 15:26:00,12
2023-09-22 17:06:00,12
2023-09-25 14:10:00,12
2023-09-19 06:14:00,12
2023-09-21 12:56:00,11
2023-09-19 10:42:00,11
2023-09-21 15:52:00,11
2023-09-19 11:10:00,11
2023-09-18 13:18:00,11
2023-09-27 07:04:00,11
2023-09-22 07:28:00,11
2023-09-18 18:26:00,11
2023-09-19 07:04:00,11
2023-09-20 05:30:00,11
2023-09-26 09:18:00,11
2023-09-26 07:10:00,11
2023-09-22 10:12:00,11
2023-09-23 08:32:00,11
2023-09-29 05:24:00,10
2023-09-26 13:22:00,10
2023-09-26 05:22:00,10
2023-09-25 17:16:00,10
2023-09-28 10:08:00,10
2023-09-22 12:54:00,10
2023-09-20 13:38:00,10
2023-09-19 11:40:00,10
2023-09-20 19:38:00,10
2023-09-24 06:58:00,10
2023-09-24 06:40:00,10
2023-09-21 12:54:00,10
2023-09-22 16:34:00,9
2023-09-28 17:16:00,9
2023-09-24 17:54:00,9
2023-09-18 14:36:00,9
2023-09-22 15:14:00,9
2023-09-28 12:54:00,9
2023-09-18 09:14:00,9
2023-09-29 15:36:00,9
2023-09-26 06:06:00,9
2023-09-22 09:20:00,9
2023-09-26 10:10:00,9
2023-09-21 12:58:00,9
2023-09-21 13:00:00,9
2023-09-23 15:18:00,9
2023-09-22 11:28:00,9
2023-09-19 17:02:00,9
2023-09-23 12:32:00,9
2023-09-22 16:12:00,8
2023-09-26 14:56:00,8
2023-09-24 06:54:00,8
2023-09-27 15:08:00,8
2023-09-29 08:48:00,8
2023-09-22 12:50:00,8
2023-09-26 14:48:00,8
2023-09-28 10:20:00,8
2023-09-22 10:40:00,8
2023-09-22 10:42:00,8
2023-09-19 11:22:00,8
2023-09-20 06:50:00,8
2023-09-18 14:58:00,8
2023-09-20 08:22:00,7
2023-09-23 08:26:00,7
2023-09-22 09:36:00,7
2023-09-25 11:26:00,7
2023-09-20 15:58:00,7
2023-09-24 15:58:00,7
2023-09-25 05:50:00,7
2023-09-19 11:12:00,7
2023-09-24 14:40:00,7
2023-09-29 05:20:00,7
2023-09-27 05:14:00,7
2023-09-23 18:26:00,7
2023-09-18 18:04:00,7
2023-09-20 13:40:00,7
2023-09-23 10:20:00,7
2023-09-24 07:04:00,7
2023-09-19 06:50:00,7
2023-09-18 12:00:00,7
2023-09-26 07:24:00,7
2023-09-29 13:32:00,7
2023-09-21 11:12:00,6
2023-09-18 12:40:00,6
2023-09-27 12:52:00,6
2023-09-23 14:46:00,6
2023-09-22 11:26:00,6
2023-09-19 11:28:00,6
2023-09-29 14:36:00,6
2023-09-27 20:26:00,6
2023-09-18 10:46:00,6
2023-09-20 17:42:00,6
2023-09-18 09:18:00,6
2023-09-23 11:18:00,6
2023-09-25 17:06:00,6
2023-09-22 12:52:00,6
2023-09-25 14:42:00,6
2023-09-22 06:58:00,6
2023-09-20 13:20:00,6
2023-09-20 14:46:00,6
2023-09-18 16:46:00,6
2023-09-23 15:34:00,5
2023-09-28 10:14:00,5
2023-09-22 11:40:00,5
2023-09-26 17:56:00,5
2023-09-24 12:34:00,5
2023-09-29 11:58:00,5
2023-09-19 11:16:00,5
2023-09-23 17:14:00,5
2023-09-20 09:20:00,5
2023-09-18 12:16:00,5
2023-09-20 08:30:00,5
2023-09-24 10:14:00,5
