first,last,prediction
1696241530,1696241549,3.84329492226243
1696241610,1696241639,11.394956707954407
1696241660,1696241699,5.54625375661999
1696241700,1696241739,5.245583481155336
1696241800,1696241809,8.677440136671066
1696241820,1696241879,7.826234353706241
1696241890,1696241939,4.86646561572949
1696241940,1696241969,5.665102228522301
1696242020,1696242029,13.603436946868896
1696242100,1696242119,1.925890287384391
1696242120,1696242179,4.1711025685071945
1696242180,1696242209,7.210113108158112
1696242250,1696242259,6.839475780725479
1696242330,1696242359,3.0828004237264395
1696242410,1696242419,0.0823610462248325
1696242420,1696242479,4.474215104419272
1696242480,1696242539,6.389122339896858
1696242540,1696242589,5.93926552683115
1696242600,1696242649,9.358499012887478
1696242660,1696242719,2.4553707102313638
1696242720,1696242739,0.316659442614764
1696243200,1696243219,3.4613311290740967
1696243380,1696243409,6.971096619963646
1696243470,1696243499,0.7060078671202064
1696243500,1696243559,6.8215881784756975
1696243570,1696243619,10.09388929232955
1696243620,1696243679,6.17865189909935
1696243770,1696243799,7.338135503232479
1696243800,1696243819,8.148971945047379
1696243870,1696243919,3.506860276684165
1696243920,1696243939,7.298114895820619
1696244060,1696244069,6.727181375026703
1696244120,1696244139,9.260398522019386
1696244570,1696244579,5.812348425388336
1696244580,1696244589,8.35074633359909
1696244710,1696244729,10.963523387908936
1696244990,1696244999,13.04226964712143
1696245020,1696245059,8.197606354951859
1696245080,1696245109,3.381968103349209
1696245260,1696245299,5.940434305618207
1696245300,1696245309,9.570050239562988
1696245440,1696245449,14.666832983493803
1696245480,1696245539,5.29314527908961
1696245540,1696245599,7.880708761513233
1696245600,1696245659,2.444288544696368
1696245660,1696245669,14.313434064388275
1696245740,1696245779,9.026777278631926
1696246260,1696246309,12.885132804512978
1696246590,1696246609,7.304927427321673
1696246950,1696246969,7.099311053752899
1696247130,1696247139,11.448720097541807
1696247210,1696247219,1.3695228844881058
1696247240,1696247259,5.48792015761137
1696247300,1696247329,10.843874017397562
1696247420,1696247439,13.896935433149338
1696248220,1696248229,10.267143696546556
1696248730,1696248739,13.979600369930267
1696250230,1696250259,1.364552882296266
1696250470,1696250479,10.702312737703323
1696250700,1696250709,3.681876882910729
1696250800,1696250809,14.35079276561737
1696250850,1696250859,3.703456744551658
1696250880,1696250909,2.8362507621447244
1696251150,1696251159,9.417807310819626
1696251210,1696251219,6.910593807697296
1696251680,1696251699,0.708239187952131
1696251770,1696251779,14.638441801071169
1696251810,1696251819,14.64260220527649
1696251910,1696251919,0.5069354549050331
1696252040,1696252049,0.2130278153344988
1696252080,1696252089,10.235054790973663
1696252190,1696252199,3.319067135453224
1696252230,1696252239,2.8083696961402893
1696252400,1696252409,13.279323279857635
1696252450,1696252489,3.101490413973806
1696252530,1696252559,0.06343276472762224
1696252560,1696252619,6.96768956258893
1696252670,1696252679,6.654990464448929
1696252730,1696252739,3.332682326436043
1696252740,1696252769,5.824213055893779
1696252810,1696252859,3.3742725616320968
1696252880,1696252919,5.132477078586817
1696252920,1696252969,2.802345094581445
1696252980,1696253009,3.826207807287574
1696253070,1696253079,1.714056171476841
1696253190,1696253199,10.006453841924667
1696253220,1696253229,4.177999123930931
1696253280,1696253329,6.842690519988537
1696253340,1696253359,7.7820442616939545
1696253460,1696253519,10.540296323597431
1696253520,1696253569,10.803745438655218
1696253630,1696253639,1.9583094865083692
1696253640,1696253669,4.1743130423128605
1696253770,1696253789,0.6064460147172213
1696253910,1696253919,3.832815960049629
1696253970,1696253979,8.039145171642303
1696254650,1696254659,13.538061082363129
1696254660,1696254669,7.605879008769989
1696254980,1696254989,7.072372734546661
1696255060,1696255079,1.792115531861782
1696255080,1696255109,6.7904409021139145
1696255170,1696255179,7.596089690923691
1696258120,1696258139,0.2914719625550788
1696260560,1696260599,3.1547337770462036
1696260600,1696260609,8.811375498771667
1696260760,1696260779,2.953280115616508
1696260780,1696260789,0.6731228902935982
1696261020,1696261069,10.166862358649572
1696261380,1696261389,11.570347845554352
1696261770,1696261789,6.610502162948251
1696262060,1696262079,0.11923539859708396
1696262500,1696262509,5.582807958126068
1696263100,1696263119,3.9346705190837383
1696263120,1696263129,13.627611100673676
1696263500,1696263519,4.303049482405186
1696263620,1696263629,3.2515306025743484
1696264000,1696264009,1.5053512528538704
1696264110,1696264119,8.76162201166153
1696265730,1696265739,1.4323323965072632
1696265850,1696265869,2.8532980009913445
1696265890,1696265899,4.479232802987099
1696266320,1696266349,7.552605634555221
1696266720,1696266729,0.5473802331835032
1696266860,1696266869,0.1452319091185927
1696266950,1696266959,12.870125472545624
1696266990,1696266999,2.7876896783709526
1696267150,1696267159,11.509710550308228
1696267590,1696267599,6.284117698669434
1696267860,1696267869,1.998348347842693
1696268000,1696268009,5.98304383456707
1696268070,1696268099,0.8794379886239767
1696268100,1696268109,3.6736033856868735
1696268360,1696268389,2.5770146399736404
1696268490,1696268499,5.394048243761063
1696268820,1696268829,1.393451914191246
1696268920,1696268939,0.5948734586127102
1696268940,1696268949,0.2358969300985336
1696269530,1696269539,2.753186598420143
1696269540,1696269569,0.7058793484854201
1696269610,1696269629,5.1161049865186214
1696269890,1696269899,4.0787748992443085
1696269960,1696270009,5.553240647229056
1696270140,1696270149,10.256802290678024
1696270230,1696270259,6.143554920951526
1696270260,1696270289,7.5970359146595
1696271070,1696271079,14.64763879776001
1696271130,1696271139,2.5298846885561943
1696272150,1696272159,5.852337926626205
1696272640,1696272649,4.371891543269157
1696275980,1696275989,0.1649867859669029
1696282180,1696282199,5.522262549493461
1696282200,1696282209,3.372398763895035
1696283230,1696283269,0.8587217191234231
1696283450,1696283459,14.274248480796814
1696283460,1696283509,3.200741084292531
1696283560,1696283569,5.755463615059853
1696283600,1696283609,5.821382254362106
1696283750,1696283759,2.8947738930583
1696285750,1696285779,0.29529315070249135
1696287020,1696287029,0.9773570112884044
